date,state,confirmed,deaths,recovered,active
2021-05-10,Uttar Pradesh,860.0,14.0,106.0,740
2020-05-27,Bihar,3444.0,0.0,2919.0,426
2021-03-21,Kerala,0.0,0.0,21.0,1106
2021-06-19,Andhra Pradesh,0.0,14.0,189.0,2544
2020-07-09,Madhya Pradesh,3556.0,0.0,646.0,2860
2021-02-09,Gujarat,2612.0,129.0,1363.0,1120
2020-09-22,Delhi,3152.0,163.0,1585.0,1404
2021-06-20,Kerala,4798.0,145.0,161.0,4492
2020-11-07,Haryana,1016.0,189.0,295.0,532
2020-09-04,Madhya Pradesh,379.0,0.0,156.0,183
2021-12-08,West Bengal,1495.0,62.0,1162.0,271
2020-10-17,Punjab,3099.0,134.0,0.0,2765
2020-06-07,Rajasthan,2731.0,103.0,1570.0,1058
2021-07-16,Punjab,4493.0,102.0,4488.0,-97
2020-10-27,Andhra Pradesh,563.0,95.0,484.0,-16
2020-10-29,Andhra Pradesh,3157.0,27.0,2625.0,505
2021-09-07,West Bengal,1363.0,29.0,1354.0,-20
2021-03-12,Maharashtra,1306.0,189.0,0.0,485
2021-01-12,Madhya Pradesh,3748.0,50.0,1257.0,2441
2020-06-21,Madhya Pradesh,1853.0,185.0,563.0,1105
2020-05-20,Rajasthan,698.0,0.0,1.0,585
2021-11-28,Delhi,1707.0,0.0,1439.0,109
2020-12-05,Kerala,2931.0,97.0,197.0,2637
2021-01-20,Bihar,2511.0,92.0,0.0,625
2020-07-26,Delhi,2911.0,198.0,1843.0,870
2021-06-16,Bihar,4061.0,41.0,1634.0,2386
2020-03-02,Maharashtra,3723.0,196.0,3108.0,419
2020-07-09,Andhra Pradesh,4499.0,151.0,3191.0,1157
2020-11-09,Rajasthan,0.0,98.0,2200.0,885
2020-08-08,Andhra Pradesh,4493.0,20.0,3987.0,486
2021-06-03,Andhra Pradesh,954.0,114.0,469.0,371
2020-12-08,Kerala,225.0,20.0,29.0,176
2021-12-19,Andhra Pradesh,0.0,191.0,3120.0,1331
2020-06-07,Kerala,1060.0,23.0,496.0,541
2020-08-08,Odisha,3327.0,66.0,127.0,3134
2021-11-16,Haryana,4014.0,85.0,1686.0,2243
2021-03-28,Maharashtra,4341.0,175.0,2806.0,1360
2020-04-05,Uttar Pradesh,0.0,19.0,0.0,2393
2020-05-31,Telangana,4929.0,31.0,2774.0,2124
2021-01-08,Kerala,1715.0,169.0,837.0,709
2021-11-10,West Bengal,4.0,102.0,3.0,-101
2021-12-16,Rajasthan,4364.0,0.0,635.0,3616
2021-02-09,Punjab,740.0,116.0,126.0,498
2020-06-04,Gujarat,559.0,88.0,487.0,-16
2020-11-02,Tamil Nadu,3147.0,153.0,1679.0,1315
2020-06-02,Telangana,0.0,196.0,1227.0,1636
2021-02-20,Haryana,2070.0,0.0,1781.0,280
2021-10-29,Punjab,2816.0,68.0,515.0,2233
2021-06-18,Andhra Pradesh,851.0,151.0,689.0,11
2020-04-04,Gujarat,2774.0,80.0,0.0,2605
2020-09-12,Madhya Pradesh,825.0,0.0,492.0,220
2021-03-29,Karnataka,2504.0,151.0,2239.0,114
2021-12-24,Andhra Pradesh,4132.0,11.0,3440.0,681
2020-05-01,Maharashtra,595.0,0.0,0.0,143
2020-05-15,Delhi,4360.0,198.0,1819.0,2343
2020-05-08,Tamil Nadu,4491.0,24.0,2938.0,1529
2020-04-11,Tamil Nadu,2982.0,141.0,633.0,2208
2020-03-09,West Bengal,953.0,144.0,252.0,557
2021-11-24,Bihar,0.0,4.0,28.0,1185
2021-12-17,Karnataka,510.0,70.0,216.0,224
2021-11-28,West Bengal,1081.0,147.0,475.0,459
2020-09-06,West Bengal,0.0,190.0,368.0,-54
2020-08-20,Odisha,0.0,46.0,1172.0,634
2021-08-14,Delhi,3512.0,145.0,2094.0,1273
2020-11-14,Kerala,2703.0,0.0,1035.0,1484
2020-03-08,Tamil Nadu,1145.0,91.0,675.0,379
2021-07-15,Madhya Pradesh,0.0,156.0,1581.0,771
2021-05-24,Madhya Pradesh,9.0,55.0,1.0,-47
2020-10-10,Gujarat,4948.0,25.0,4158.0,765
2020-06-07,Madhya Pradesh,0.0,128.0,404.0,-22
2021-05-11,Kerala,3636.0,164.0,713.0,2759
2021-05-20,Delhi,0.0,112.0,0.0,2609
2020-06-26,Kerala,770.0,122.0,305.0,343
2021-04-05,Madhya Pradesh,4719.0,46.0,3278.0,1395
2020-12-31,Andhra Pradesh,1358.0,90.0,434.0,834
2021-08-24,West Bengal,4854.0,105.0,2128.0,2621
2020-05-08,West Bengal,2593.0,5.0,2100.0,488
2021-12-23,Telangana,3445.0,143.0,899.0,2403
2020-04-30,Odisha,3122.0,146.0,0.0,1948
2020-04-16,Madhya Pradesh,2261.0,0.0,106.0,2100
2020-11-08,Maharashtra,2766.0,46.0,638.0,2082
2021-02-28,Gujarat,4621.0,186.0,0.0,2789
2020-03-15,Kerala,4580.0,27.0,0.0,3840
2020-07-23,Madhya Pradesh,3596.0,24.0,1603.0,1969
2020-04-03,Kerala,4718.0,7.0,4007.0,704
2021-01-14,Punjab,1761.0,186.0,314.0,1261
2021-10-03,Kerala,2563.0,93.0,0.0,73
2021-10-27,Kerala,2551.0,178.0,1464.0,909
2021-01-20,Tamil Nadu,1141.0,67.0,723.0,351
2021-09-01,Andhra Pradesh,1828.0,125.0,138.0,1565
2020-03-10,Rajasthan,260.0,150.0,137.0,-27
2021-01-23,Tamil Nadu,2832.0,8.0,1994.0,830
2021-01-12,Tamil Nadu,4027.0,177.0,333.0,3517
2020-12-21,Maharashtra,3391.0,149.0,1855.0,1387
2020-08-12,Delhi,2898.0,122.0,77.0,2699
2020-12-20,Rajasthan,4711.0,13.0,3762.0,936
2020-10-11,Maharashtra,0.0,193.0,1997.0,864
2021-03-26,Delhi,1202.0,199.0,553.0,450
2021-04-24,Uttar Pradesh,2204.0,37.0,1120.0,1047
2021-08-04,Gujarat,4612.0,122.0,1865.0,2625
2020-03-15,Rajasthan,3228.0,135.0,3228.0,-135
2020-12-17,Delhi,793.0,42.0,282.0,469
2020-03-23,Rajasthan,814.0,89.0,301.0,424
2021-11-13,Maharashtra,1639.0,59.0,682.0,898
2020-07-05,Rajasthan,3177.0,91.0,1928.0,1158
2021-11-03,Uttar Pradesh,3476.0,89.0,1645.0,1742
2021-12-21,Delhi,3502.0,52.0,3208.0,242
2021-08-19,Karnataka,1625.0,74.0,385.0,1166
2020-08-26,Bihar,1205.0,151.0,24.0,1030
2021-12-22,Telangana,2713.0,155.0,1492.0,1066
